Sample,Magnification,Compound Compositions,Indent Composition,Hardness,Hv,Modulus,Stiffness^2 / Load,Pmax,Hmax,Reporting Depth
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,Unassigned : 8.55%|VNiCrCuAl : 21.71%|NiCuAlV : 69.74%,10.09,953.7,175.51,3439.4,34.908,505,69.8
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,Unassigned : 17.68%|VNiCrCuAl : 32.88%|NiCuAlV : 48.36%|CuNiAl : 1.08%,13.331,1260.1,208.57,3484.4,37.632,511,70.4
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 92.25%|Unassigned : 7.75%,3.753,354.7,107.17,3870.6,25.772,508,69.6
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 61.01%|VNiCrCuAl : 34.05%|Unassigned : 4.94%,13.696,1294.6,206.84,3344.5,37.656,510,69.8
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 42.34%|VNiCrCuAl : 52.29%|Unassigned : 5.37%,8.078,763.5,149.57,3256.9,36.553,511,69.5
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 15.38%|Unassigned : 4.05%|NiCuAlV : 62.12%|VNiCrCuAl : 18.45%,11.359,1073.6,185.21,3348.4,37.462,509,69.8
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 1.42%|NiCuAlV : 93.29%|Unassigned : 0.63%|VNiCrCuAl : 4.67%,9.937,939.3,177.38,3555.6,36.646,511,70
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 1.96%|Unassigned : 8.79%|CuNiAl : 86.48%|NiCuAlV : 2.77%,6.264,592,130.64,3308.7,30.239,508,69.7
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 92.44%|Unassigned : 7.56%,3.201,302.5,96.24,3732.8,28.439,509,69.1
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 62.67%|Unassigned : 2.71%|NiCuAlV : 34.62%,8.464,800,149.89,3119.8,37.504,510,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 80.61%|NiCuAlV : 11.90%|Unassigned : 7.50%,9.638,911,154.69,2895.1,36.429,510,69.6
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 31.89%|NiCuAlV : 51.90%|Unassigned : 9.55%|CuNiAl : 6.66%,6.664,629.9,135.84,3333.2,36.046,512,69.7
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,,13.374,1264.1,196.89,3153.7,37.316,510,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,Unassigned : 5.15%|CuNiAl : 94.85%,8.619,814.7,157.32,3333.6,31.678,509,69.8
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 58.43%|NiCuAlV : 41.57%,10.056,950.5,171.91,3330.7,33.505,510,69.8
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 15.08%|CuNiAl : 80.67%|Unassigned : 4.25%,10.403,983.3,172.57,3240.9,34.805,510,70.1
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 0.51%|NiCuAlV : 85.62%|Unassigned : 2.29%|VNiCrCuAl : 11.58%,11.581,1094.7,191.33,3470.6,38.063,510,70.1
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 86.55%|VNiCrCuAl : 9.08%|CuNiAl : 4.37%,8.033,759.3,156.98,3564.1,36.89,509,70.2
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 76.62%|Unassigned : 5.62%|NiCuAlV : 17.76%,4.211,398,101.94,3150.1,30.334,510,70.1
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 50.20%|Unassigned : 6.74%|NiCuAlV : 43.06%,10.226,966.5,171.24,3253.5,36.874,510,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 37.37%|CuNiAl : 45.62%|Unassigned : 12.66%|VNiCrCuAl : 4.35%,7.944,750.8,149.67,3316.1,34.215,509,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 97.20%|Unassigned : 2.80%,8.794,831.2,169.96,3734.2,26.627,509,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 52.63%|NiCuAlV : 23.25%|Unassigned : 17.13%|VNiCrCuAl : 6.99%,5.032,475.7,112.89,3172.1,32.699,514,69.6
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 44.44%|Unassigned : 8.86%|NiCuAlV : 46.70%,8.11,766.5,157.79,3561.8,37.187,510,70.4
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,Unassigned : 5.78%|NiCuAlV : 72.68%|VNiCrCuAl : 18.47%|CuNiAl : 3.07%,12.721,1202.4,198.72,3367,38.704,509,70.1
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 10.35%|CuNiAl : 28.50%|Unassigned : 30.46%|VNiCrCuAl : 30.69%,13.655,1290.6,223.05,3803.3,34.682,510,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 16.86%|Unassigned : 27.93%|VNiCrCuAl : 51.61%|CuNiAl : 3.60%,10.901,1030.4,176.58,3216.6,36.566,510,69.7
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,,10.275,971.2,166.04,3070,32.93,510,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 12.10%|Unassigned : 25.08%|NiCuAlV : 21.62%|CuNiAl : 41.19%,4.645,439,110.29,3294.1,33.177,509,70.2
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 29.83%|NiCuAlV : 47.65%|Unassigned : 19.33%|VNiCrCuAl : 3.18%,8.005,756.6,150.05,3305.2,33.354,509,69.9
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 50.05%|VNiCrCuAl : 0.06%|Unassigned : 1.90%|CuNiAl : 48.00%,10.125,957,171.94,3308.4,35.526,519,70
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 89.08%|NiCuAlV : 10.92%,8.338,788.1,146.7,3050.6,31.599,510,70
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 1.81%|CuNiAl : 75.37%|Unassigned : 19.13%|VNiCrCuAl : 3.69%,5.706,539.3,134.68,3834,31.037,509,70.3
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 100.00%,10.681,1009.6,169.67,3065.6,29.479,509,70
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,CuNiAl : 71.30%|NiCuAlV : 28.70%,10.642,1005.9,172.62,3169.9,33.758,511,69.6
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,Unassigned : 2.22%|VNiCrCuAl : 7.74%|NiCuAlV : 90.04%,10.653,1006.9,186.91,3626.2,36.672,509,69.7
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 4.14%|VNiCrCuAl : 63.90%|Unassigned : 31.96%,8.759,827.9,153.75,3151.5,37.069,511,69.4
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 38.07%|CuNiAl : 32.39%|Unassigned : 16.63%|VNiCrCuAl : 12.91%,4.632,437.8,112.06,3399.1,33.204,510,70.3
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,NiCuAlV : 80.83%|VNiCrCuAl : 16.77%|Unassigned : 2.40%,9.252,874.5,162.81,3296,36.977,510,70.1
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,Unassigned : 4.31%|NiCuAlV : 54.56%|VNiCrCuAl : 41.13%,11.916,1126.3,204.28,3766.4,38.799,511,70.2
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,VNiCrCuAl : 79.09%|Unassigned : 19.11%|NiCuAlV : 1.80%,12.502,1181.7,198.88,3431.3,38.332,511,70
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,Unassigned : 4.07%|VNiCrCuAl : 2.77%|NiCuAlV : 88.30%|CuNiAl : 4.86%,11.634,1099.7,197.65,3648.6,39.363,510,70
EP3086C,1_1750X,NiCuAlV = Al: 32.4%-Ni: 30.28%-Cu: 20.05%-V: 12.64%-Cr: 4.63% | CuNiAl = Cu: 41.07%-Al: 30.53%-Ni: 22.05%-V: 4.66%-Cr: 1.7% | VNiCrCuAl = V: 34.68%-Ni: 19.79%-Al: 19.44%-Cr: 14.69%-Cu: 11.4% | CuNi = Cu: 75.66%-Ni: 24.34% | Unassigned = Cu: 24.95%-Al: 23.25%-V: 22.65%-Ni: 19.76%-Cr: 9.39%,,9.812,927.4,168.03,3281.5,35.251,508,69.4
