Sample,Magnification,Compound Compositions,Indent Composition,Hardness,Hv,Modulus,Stiffness^2 / Load,Pmax,Hmax,Reporting Depth
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 37.82%|CuTiAlCr : 8.80%|Unassigned : 21.65%|CuAlTi : 31.73%,5.56,525.5,151.72,4851.1,478.729,2011,437.3
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuAlTi : 40.07%|CuTiAlCr : 31.10%|Unassigned : 26.48%|CuTiAl : 2.35%,5.657,534.7,141.47,4217.7,492.086,2051,433.3
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 14.55%|CuTiAl : 69.06%|Unassigned : 12.90%|CuAlTi : 3.50%,5.135,485.4,142.3,4694.2,423.838,2044,455.7
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 55.91%|CuTiAlCr : 19.34%|CuAlTi : 10.28%|Unassigned : 14.48%,5.566,526.1,141.44,4285.1,459.036,2046,436.8
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 52.39%|Unassigned : 6.60%|CuTiAlCr : 41.00%,5.443,514.5,144.36,4542.1,464.948,2046,442.2
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuAlTi : 22.60%|Unassigned : 34.99%|CuTiAlCr : 40.09%|CuTiAl : 2.31%,5.226,494,151.82,5167.2,445.161,2047,451.6
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 49.47%|CuAlTi : 29.56%|Unassigned : 11.80%|CuTiAlCr : 9.17%,5.217,493.1,141.03,4548.9,461.649,2048,452.2
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 13.86%|CuAlTi : 37.41%|Unassigned : 19.14%|CuTiAl : 29.59%,5.787,547,137.86,3939.3,458.259,2050,428.3
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAlCr : 49.15%|CuTiAl : 39.62%|Unassigned : 8.50%|CuAlTi : 2.73%,7.076,668.9,157.38,4062.8,479.518,2047,385.9
EP3086D,2_600X,CuTiAl = Cu: 48.93%-Ti: 24.62%-Al: 24.32%-Cr: 2.13% | CuTiAlCr = Cu: 37.09%-Ti: 26.2%-Al: 25.96%-Cr: 10.75% | CuAlTi = Cu: 57.36%-Al: 28.69%-Ti: 11.86%-Cr: 2.1% | Unassigned = Cu: 43.63%-Al: 25.06%-Ti: 19.15%-Cr: 12.15%,CuTiAl : 51.22%|CuTiAlCr : 43.43%|CuAlTi : 4.03%|Unassigned : 1.32%,7.612,719.5,149.33,3446.9,487.862,2034,371.4
